Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intesity (dB)
165.632;71.2;0.682667;90.7258;69.2
166.3146667;71.3;0.757333;87.8906;70.8
167.072;71.4;0.736;79.2253;59.2
167.808;72.1;0.650667;81.5217;66.8
168.4586667;72.2;0.693333;92.2131;64.3
169.152;72.3;0.629333;86.5385;70.8
169.7813333;72.4;0.672;95.339;68.6
170.4533333;73.1;0.693333;89.2857;67.1
171.1466667;73.2;0.661333;86.5385;66.4
171.808;73.3;0.725333;90.7258;67.9
172.5333333;73.4;0.661333;82.7206;72.1
173.1946667;74.1;0.618667;90.7258;70.9
173.8133333;74.2;0.778667;96.9828;65.2
174.592;74.3;0.693333;77.0548;68.3
175.2853333;74.4;0.682667;86.5385;67.1
175.968;75.1;0.678062;87.8906;73.3
176.6460625;75.2;0.815271;88.4874;65.7
177.4613333;75.3;0.768;73.5952;65.5
178.2293333;75.4;1.248;78.125;59.3
179.4773333;76.1;0.981333;48.0769;60.8
180.4586667;76.2;1.05201;61.1413;54.4
181.5106771;76.3;0.96399;57.0337;39.6
182.4746667;76.4;1.07733;62.2413;57.6
183.552;77.1;1.472;55.6931;56.6
185.024;77.2;1.49333;40.7609;58.7
186.5173333;77.3;1.536;40.1786;43
188.0533333;77.4;1.04533;39.0625;51.7
189.0986667;78.1;0.821333;57.398;58.4
189.92;78.2;0.746667;73.0519;65
190.6666667;78.3;0.736;80.3571;59.7
191.4026667;78.4;0.789333;81.5217;60.5
192.192;79.1;0.746667;76.0135;58.9
192.9386667;79.2;0.693333;80.3571;60.7
193.632;79.3;0.704;86.5385;57.9
194.336;79.4;0.736;85.2273;62.4
195.072;80.1;0.668063;81.5217;64.8
195.7400625;80.2;0.750604;89.812;62.1
196.4906667;80.3;0.768;79.9356;64.2
197.2586667;80.4;0.736;78.125;66.2
197.9946667;81.1;0.746667;81.5217;66.6
198.7413333;81.2;0.725333;80.3571;61.7
199.4666667;81.3;0.789333;82.7206;65.4
200.256;81.4;0.757333;76.0135;65.8
201.0133333;82.1;0.8;79.2253;63.7
201.8133333;82.2;0.77599;75;64.6
202.5893229;82.3;0.810323;77.3206;58.9
203.3996458;82.4;0.742479;74.0446;55.1
204.142125;83.1;0.796542;80.8103;58.8
204.9386667;83.2;0.704;75.3256;62.8
205.6426667;83.3;0.704;85.2273;62.3
206.3466667;83.4;0.704;85.2273;62.3
207.0506667;84.1;0.789333;85.2273;64.2
207.84;84.2;0.777469;76.0135;61.9
208.6174688;84.3;0.886531;77.1735;58.4
209.504;84.4;0.8;67.6795;61.8
210.304;85.1;0.906667;75;63.3
211.2106667;85.2;0.768;66.1765;66.6
211.9786667;85.3;0.803792;78.125;65.8
212.7824583;85.4;0.774875;74.6462;71.7
213.5573333;86.1;0.789333;77.4318;67
214.3466667;86.2;0.749135;76.0135;72.3
215.0958021;86.3;0.733531;80.0923;64.3
215.8293333;86.4;0.778667;81.7961;64
216.608;87.1;0.725333;77.0548;68.2
217.3333333;87.2;0.757333;82.7206;63.7
218.0906667;87.3;0.885333;79.2253;64.1
218.976;87.4;0.714667;67.7711;59.9
219.6906667;88.1;0.757333;83.9552;69.8
220.448;88.2;0.810667;79.2253;66.4
221.2586667;88.3;0.768;74.0132;60.2
222.0266667;88.4;0.885333;78.125;58.6
222.912;89.1;0.772042;67.7711;64.4
223.6840417;89.2;0.845417;77.716;60.3
224.5294583;89.3;0.807573;70.9709;55.8
225.3370313;89.4;0.783;74.2967;55.4
226.1200313;90.1;0.781302;76.6283;47.4
226.9013333;90.2;1.00267;76.7949;56.8
227.904;90.3;0.949333;59.8404;55.7
228.8533333;90.4;0.928;63.2022;54.4
229.7813333;91.1;0.773396;64.6552;58.6
230.5547292;91.2;0.645271;77.5799;60.9
231.2;91.3;0.690469;92.9842;67.3
231.8904688;91.4;0.696198;86.8975;70.7
232.5866667;92.1;0.704;86.1824;69.6
233.2906667;92.2;0.736;85.2273;71.2
234.0266667;92.3;0.629333;81.5217;63.8
234.656;92.4;0.736;95.339;66.9
235.392;93.1;0.714667;81.5217;71.3
236.1066667;93.2;0.672;83.9552;64.8
236.7786667;93.3;0.597333;89.2857;69.8
237.376;93.4;0.821333;100.446;68.8
238.1973333;94.1;0.661333;73.0519;73.3
238.8586667;94.2;0.608;90.7258;65.4
239.4666667;94.3;0.631771;98.6842;69.3
240.0984375;94.4;0.744229;94.9711;57
240.8426667;95.1;0.714667;80.6203;76.2
241.5573333;95.2;0.576;83.9552;62.2
242.1333333;95.3;0.624802;104.167;75.3
242.7581354;95.4;0.655198;96.0304;67.9
243.4133333;96.1;0.618667;91.5754;75.1
244.032;96.2;0.672;96.9828;69.6
244.704;96.3;0.59774;89.2857;76
245.3017396;96.4;0.52226;100.378;63.1
245.824;97.1;0.682667;114.885;73.3
246.5066667;97.2;0.599896;87.8906;76.5
247.1065625;97.3;0.658771;100.017;76.8
247.7653333;97.4;0.714667;91.0787;67.6
248.48;98.1;0.650667;83.9552;69.8
249.1306667;98.2;0.693333;92.2131;59.5
249.824;98.3;0.629333;86.5385;66.6
250.4533333;98.4;0.661333;95.339;56.2
251.1146667;99.1;0.64;90.7258;66.2
251.7546667;99.2;0.597333;93.75;58
252.352;99.3;0.601094;100.446;71.6
252.9530938;99.4;0.76424;99.818;65.4
253.7173333;100.1;0.650667;78.5094;71.8
254.368;100.2;0.629333;92.2131;62.5
254.9973333;100.3;0.67274;95.339;67.7
255.6700729;100.4;0.660594;89.1876;62.6
256.3306667;101.1;0.629333;90.8274;65.7
256.96;101.2;0.704;95.339;68
257.664;101.3;0.576;85.2273;65.8
258.24;101.4;0.768;104.167;59
259.008;102.1;0.672;78.125;67.5
259.68;102.2;0.632448;89.2857;66.3
260.3124479;102.3;0.658219;94.8695;73.9
260.9706667;102.4;0.586667;91.1551;70.1
261.5573333;103.1;0.650667;102.273;70
262.208;103.2;0.597333;92.2131;69.8
262.8053333;103.3;0.608;100.446;67.2
263.4133333;103.4;0.672;98.6842;77.6
264.0853333;104.1;0.778667;89.2857;73.2
264.864;104.2;0.661333;77.0548;73.5
265.5253333;104.3;0.565333;90.7258;66.3
266.0906667;104.4;0.693333;106.132;74.4
266.784;105.1;0.714667;86.5385;72.9
267.4986667;105.2;0.554667;83.9552;75.2
268.0533333;105.3;0.695635;108.173;68.6
268.7489688;105.4;0.669698;86.2521;70.4
269.4186667;106.1;0.662865;89.5926;73.2
270.0815313;106.2;0.734469;90.5162;71.6
270.816;106.3;0.661333;81.6917;68.8
271.4773333;106.4;0.768;90.7258;66.9
272.2453333;107.1;0.646698;78.125;67.2
272.8920313;107.2;0.590635;92.779;70.1
273.4826667;107.3;0.565333;101.586;73.9
274.048;107.4;0.682667;106.132;74.2
274.7306667;108.1;0.629333;87.8906;77.2
275.36;108.2;0.629333;95.339;71
275.9893333;108.3;0.586667;95.339;71.5
276.576;108.4;0.669427;102.273;66.7
277.2454271;109.1;0.706573;89.6289;72.3
277.952;109.2;0.618667;84.9169;66.6
278.5706667;109.3;0.565333;96.9828;71.1
279.136;109.4;0.682667;106.132;69.3
279.8186667;110.1;0.576;87.8906;74.8
280.3946667;110.2;0.608;104.167;71.2
281.0026667;110.3;0.608;98.6842;79
281.6106667;110.4;0.597333;98.6842;74.2
282.208;111.1;0.576;100.446;72.8
282.784;111.2;0.618667;104.167;74
283.4026667;111.3;0.521594;96.9828;73.9
283.9242604;111.4;0.630406;115.032;74.2
284.5546667;112.1;0.608;95.1767;79.8
285.1626667;112.2;0.597333;98.6842;76.5
285.76;112.3;0.569354;100.446;78.8
286.3293542;112.4;0.625313;105.383;77.4
286.9546667;113.1;0.576;95.952;79
287.5306667;113.2;0.586667;104.167;80.2
288.1173333;113.3;0.52699;102.273;80.3
288.6443229;113.4;0.646344;113.854;81
289.2906667;114.1;0.544;92.8299;79.4
289.8346667;114.2;0.64;110.294;75.2
290.4746667;114.3;0.512;93.75;75.3
290.9866667;114.4;0.618667;117.188;77.7
291.6053333;115.1;0.522667;96.9828;80.8
292.128;115.2;0.629333;114.796;75.8
292.7573333;115.3;0.506219;95.339;78.9
293.2635521;115.4;0.629083;118.526;79.2
293.8926354;116.1;0.59176;95.3769;80.8
294.4843958;116.2;0.555604;101.392;78
295.04;116.3;0.533333;107.991;76.8
295.5733333;116.4;0.597333;112.5;78.7
296.1706667;117.1;0.586667;100.446;81.1
296.7573333;117.2;0.608;102.273;78.2
297.3653333;117.3;0.661333;98.6842;82.3
298.0266667;117.4;0.597333;90.7258;73.9
298.624;118.1;0.672;100.446;86.3
299.296;118.2;0.544;89.2857;76.8
299.84;118.3;0.48;110.294;83.3
300.32;118.4;0.618667;125;73.9
300.9386667;119.1;0.60374;96.9828;86.4
301.5424063;119.2;0.526927;99.3806;76.7
302.0693333;119.3;0.522667;113.868;80.7
302.592;119.4;0.558;114.796;74.4
303.15;120.1;0.593635;107.527;85.4
303.7436354;120.2;0.531365;101.072;77
304.275;120.3;0.535667;112.917;78.7
304.8106667;120.4;0.560552;112.01;75.2
305.3712188;121.1;0.594448;107.037;86.1
305.9656667;121.2;0.572688;100.934;77.4
306.5383542;121.3;0.469646;104.769;78.2
307.008;121.4;0.629333;127.756;74.6
307.6373333;122.1;0.536427;95.339;85.9
308.1737604;122.2;0.583573;111.851;78.8
308.7573333;122.3;0.469333;102.815;81.9
309.2266667;122.4;0.650667;127.841;75.7
309.8773333;123.1;0.634198;92.2131;85.5
310.5115313;123.2;0.603135;94.6077;77
311.1146667;123.3;0.437333;99.4801;79.6
311.552;123.4;0.64;137.195;76.5
312.192;124.1;0.586667;93.75;85.2
312.7786667;124.2;0.604792;102.273;76.9
313.3834583;124.3;0.525875;99.2077;83.7
313.9093333;124.4;0.650667;114.096;77.3
314.56;125.1;0.554667;92.2131;84.6
315.1146667;125.2;0.661333;108.173;78.1
315.776;125.3;0.725333;90.7258;85.2
316.5013333;125.4;0.841302;82.7206;77.5
317.3426354;126.1;0.769365;71.318;82.3
318.112;126.2;0.48;77.9864;71.6
318.592;126.3;0.576;125;79.7
319.168;126.4;0.551427;104.167;80.3
319.7194271;127.1;0.45124;108.809;72.6
320.1706667;127.2;0.490667;132.967;80.2
320.6613333;127.3;0.469333;122.283;80
321.1306667;127.4;0.512;127.841;81.2
321.6426667;128.1;0.469333;117.188;82.4
322.112;128.2;0.550844;127.841;75.2
322.6628438;128.3;0.473156;108.924;82.4
323.136;128.4;0.565333;126.808;73.6
323.7013333;129.1;0.516469;106.132;81.8
324.2178021;129.2;0.635531;116.174;75.1
324.8533333;129.3;0.554667;94.4092;82.6
325.408;129.4;0.864;108.173;74.9
326.272;130.1;0.693333;69.4444;76.2
326.9653333;130.2;0.586667;86.5385;78.6
327.552;130.3;0.597333;102.273;79.1
328.1493333;130.4;0.704;100.446;79.4
328.8533333;131.1;0.489115;85.2273;77.9
329.3424479;131.2;0.60125;122.671;80.1
329.9436979;131.3;0.648302;99.7921;81.4
330.592;131.4;0.544;92.5494;82
331.136;132.1;0.525833;110.294;82.6
331.6618333;132.2;0.534115;114.105;74.7
332.1959479;132.3;0.550719;112.335;82.1
332.7466667;132.4;0.544;108.949;75
333.2906667;133.1;0.608;110.294;79.9
333.8986667;133.2;0.650937;98.6842;73.3
334.5496042;133.3;0.799729;92.1748;76.1
335.3493333;133.4;1.61805;75.0254;70.8
336.9673854;134.1;0.781948;37.0816;66
337.7493333;134.2;0.64;76.7315;55.4
338.3893333;134.3;0.586667;93.75;68.7
338.976;134.4;0.582917;102.273;69.3
339.5589167;135.1;0.535531;102.931;63.1
340.0944479;135.2;0.544625;112.038;71
340.6390729;135.3;0.480927;110.168;73.5
341.12;135.4;0.576;124.759;74.4
341.696;136.1;0.533333;104.167;74.8
342.2293333;136.2;0.545979;112.5;68.4
342.7753125;136.3;0.670021;109.894;75.9
343.4453333;136.4;0.704;89.5495;71.2
344.1493333;137.1;0.736;85.2273;67.5
344.8853333;137.2;0.725333;81.5217;67.3
345.6106667;137.3;0.629333;82.7206;69
