Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
336.4803628;50.7;0.731882;85.421;72.8
337.2122449;50.8;0.745488;81.9804;76.4
337.9577324;51.1;0.768798;80.4842;74
338.7265306;51.2;0.598277;78.0439;73.6
339.3248073;51.3;0.824263;100.288;75
340.1490703;51.4;0.724399;72.7923;73.5
340.8734694;51.5;0.718367;82.8273;73.6
341.5918367;51.6;0.798821;83.5227;72.3
342.3906576;51.7;0.91034;75.1107;79
343.3009977;51.8;0.791224;65.9094;71.4
344.0922222;52.1;0.825692;75.8318;71.5
344.9179138;52.2;1.22195;72.6664;70.6
346.1398639;52.3;0.939342;49.1018;66.1
347.0792063;52.4;0.785193;63.8745;64.6
347.8643991;52.5;0.743764;76.4144;69.6
348.6081633;52.6;0.828934;80.6707;69
349.4370975;52.7;0.718005;72.3821;72.5
350.155102;52.8;0.741156;83.5649;70
350.8962585;53.1;0.82619;80.9546;71.7
351.722449;53.2;0.787755;72.6225;68.3
352.5102041;53.3;0.685624;76.1658;68
353.1958277;53.4;0.687891;87.5116;67.2
353.8837188;53.5;0.989751;87.2231;68.2
354.8734694;53.6;0.687891;60.6213;69
355.5613605;53.7;0.71619;87.2231;69.3
356.277551;53.8;0.813447;83.7766;71.3
357.0909977;54.1;0.846939;73.7602;68.7
357.9379365;54.2;0.992676;70.8434;67.3
358.9306122;54.3;0.91737;60.4427;67.7
359.8479819;54.4;0.886712;65.4044;68.9
360.7346939;54.5;0.804082;67.6657;67.2
361.5387755;54.6;0.816327;74.6193;63.4
362.355102;54.7;0.769048;73.5;68.4
363.1241497;54.8;0.867687;78.0186;68.1
363.9918367;55.1;0.768503;69.1494;67.9
364.7603401;55.2;0.81517;78.0738;71.4
365.5755102;55.3;0.828571;73.6043;69.6
366.4040816;55.4;0.851429;72.4138;69.9
367.2555102;55.5;0.956122;70.4698;67.4
368.2116327;55.6;0.875737;62.7535;68.3
369.0873696;55.7;1.09222;68.5137;66
370.1795918;55.8;1.17551;54.9339;62.1
371.355102;56.1;1.06102;51.0417;63.2
372.4161224;56.2;1.03265;56.5493;63.6
373.4487755;56.3;1.06959;58.1028;62.2
374.5183673;56.4;1.19592;56.0962;60.4
375.7142857;56.5;0.865306;50.1706;63.6
376.5795918;56.6;0.840454;69.3396;62
377.4200454;56.7;1.07683;71.39;65
378.4968707;56.8;1.06522;55.7193;65.6
379.5620862;57.1;0.772608;56.3266;66.5
380.3346939;57.2;1.16916;77.6591;68.3
381.5038549;57.3;0.971156;51.3189;67.5
382.4750113;57.4;0.863764;61.782;59.9
383.3387755;57.5;0.84898;69.4634;63.8
384.1877551;57.6;0.95873;70.6731;62
385.1464853;57.7;1.02086;62.5828;68.3
386.1673469;57.8;1.02041;58.7739;67.8
387.1877551;58.1;1.03265;58.8;69.9
388.2204082;58.2;0.984807;58.1028;63.1
389.2052154;58.3;0.955533;60.9256;63.6
390.1607483;58.4;0.908639;62.7922;65.5
391.0693878;58.5;0.967347;66.0328;66.8
392.0367347;58.6;0.908753;62.0253;67.5
392.9454875;58.7;0.956553;66.0246;67.1
393.9020408;58.8;0.779592;62.7252;65.4
394.6816327;59.1;0.816327;76.9633;71.1
395.4979592;59.2;1.00408;73.5;65
396.5020408;59.3;0.902041;59.7561;68.9
397.4040816;59.4;0.702041;66.5158;67.7
398.1061224;59.5;0.853061;85.4651;67.7
398.9591837;59.6;0.853061;70.3349;58.1
399.8122449;59.7;0.97551;70.3349;57
400.7877551;59.8;1.12653;61.5063;67.5
401.9142857;60.1;0.906122;53.2609;65.5
402.8204082;60.2;0.959184;66.2162;62.8
403.7795918;60.3;0.877551;62.5532;70.3
404.6571429;60.4;0.97551;68.3721;69.4
405.6326531;60.5;0.955102;61.5063;69.4
406.5877551;60.6;0.913968;62.8205;75.2
407.5017234;60.7;1.10562;65.6478;72.8
408.6073469;60.8;1.11918;54.268;67.2
409.7265306;61.1;0.888753;53.6105;75.2
410.6152834;61.2;0.984717;67.5103;72.8
411.6;61.3;0.963265;60.9312;68.8
412.5632653;61.4;1.08163;62.2881;66
413.644898;61.5;1.26939;55.4717;65.6
414.9142857;61.6;1.24245;47.2669;71.5
416.1567347;61.7;1.06776;48.2917;62
417.2244898;61.8;1.33469;56.1927;69.7
418.5591837;62.1;1.28662;44.9541;63.7
419.845805;62.2;1.15229;46.6338;67.8
420.9980952;62.3;1.1039;52.0702;60.8
422.1019955;62.4;1.22361;54.3527;69.3
423.3256009;62.5;1.12338;49.0354;64.2
424.4489796;62.6;1.20816;53.4103;70.1
425.6571429;62.7;1.4898;49.6622;66.9
427.1469388;62.8;1.80907;40.274;55.5
428.9560091;63.1;0.970522;33.1662;69.6
429.9265306;63.2;0.873469;61.8224;67.3
430.8;63.3;0.942857;68.6916;65.6
431.7428571;63.4;0.946395;63.6364;70.6
432.6892517;63.5;0.853605;63.3985;77.2
433.5428571;63.6;0.783673;70.2901;71.8
434.3265306;63.7;0.908299;76.5625;74.8
435.2348299;63.8;0.882358;66.0575;71.8
436.1171882;64.1;0.837914;67.9996;84.8
436.955102;64.2;0.791837;71.6064;77.2
437.7469388;64.3;0.787755;75.7732;81.7
438.5346939;64.4;0.795918;76.1658;74.8
439.3306122;64.5;0.857143;75.3846;72.1
440.1877551;64.6;0.82449;70;78
441.0122449;64.7;0.838639;72.7723;76
441.8508844;64.8;0.716463;71.5444;72.3
442.5673469;65.1;0.820408;83.7448;84.6
443.3877551;65.2;0.755102;73.1343;75.7
444.1428571;65.3;0.728254;79.4595;77.2
444.8711111;65.4;0.806893;82.3888;82.7
445.6780045;65.5;0.841723;74.3593;83.2
446.5197279;65.6;0.876553;71.2823;77.8
447.3962812;65.7;0.897075;68.4499;77.4
448.293356;65.8;1.01857;66.8841;80.9
449.3119274;66.1;0.975238;58.906;75.5
450.2871655;66.2;0.876553;61.5234;75.4
451.1637188;66.3;0.883084;68.4499;79.1
452.0468027;66.4;1.06785;67.9437;76.7
453.1146485;66.5;0.859433;56.1879;77.1
453.9740816;66.6;0.922245;69.8135;73.9
454.8963265;66.7;0.893968;65.0586;71.2
455.7902948;66.8;1.02168;67.1165;70.5
456.8119728;67.1;0.987778;58.7269;67.6
457.7997506;67.2;0.933673;60.7424;58.2
458.733424;67.3;0.934898;64.2623;65
459.668322;67.4;0.899478;64.1781;64.6
460.5678005;67.5;0.905374;66.7053;71.5
461.4731746;67.6;0.934807;66.2709;64.3
462.4079819;67.7;0.894376;64.1844;65.7
463.3023583;67.8;0.99805;67.0858;66.4
464.3004082;68.1;0.931338;60.1172;64.4
465.231746;68.2;0.876689;64.4235;63.3
466.1084354;68.3;0.82059;68.4393;63.9
466.9290249;68.4;0.831156;73.1182;65.5
467.7601814;68.5;0.847528;72.1886;67.7
468.6077098;68.6;0.888163;70.7941;66.5
469.495873;68.7;0.934603;67.5551;65.5
470.4304762;68.8;1.14358;64.1984;64.3
471.574059;69.1;0.882358;52.4667;61.7
472.4564172;69.2;1.00426;67.9996;59.6
473.4606803;69.3;1.08553;59.7453;60.1
474.5462132;69.4;1.14358;55.2724;63.8
475.6897959;69.5;0.970771;52.4667;69.1
476.6605669;69.6;0.980113;61.8065;66.5
477.6406803;69.7;1.18664;61.2174;59.2
478.8273243;69.8;1.82574;50.5628;56.9
480.6530612;70.1;1.04546;32.8634;60.3
481.6985261;70.2;1.03853;57.3907;56.1
482.7370522;70.3;0.994717;57.7742;55
483.7317687;70.4;1.03034;60.3187;59.6
484.7621088;70.5;0.999342;58.2332;63
485.7614512;70.6;0.969433;60.0395;61.4
486.7308844;70.7;1.19156;61.8918;59.9
487.922449;70.8;2.08571;50.354;60.2
490.0081633;71.1;0;28.7671;61.7
