Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
120.036;86.2;0.244;245.902;69.6
120.28;86.3;0.236;245.902;69.7
120.516;86.4;0.272;254.237;71.3
120.788;86.5;0.232;220.588;66.4
121.02;86.6;0.308;258.621;68.8
121.328;87.1;0.266229;194.805;67.3
121.5942292;87.2;0.229771;225.37;71.8
121.824;87.3;0.28;261.13;72.6
122.104;87.4;0.260958;214.286;69.7
122.3649583;87.5;0.227042;229.922;68.7
122.592;87.6;0.3;264.269;70.5
122.892;88.1;0.316;200;68
123.208;88.2;0.316281;189.873;66.3
123.5242813;88.3;0.271719;189.705;57.1
123.796;88.4;0.276;220.817;50.4
124.072;88.5;0.304;217.391;61.5
124.376;88.6;0.308;197.368;70.8
124.684;89.1;0.352;194.805;68.3
125.036;89.2;0.369677;170.455;67.2
125.4056771;89.3;0.378323;162.304;54.6
125.784;89.4;0.412;158.595;42.5
126.196;89.5;0.448;145.631;48.3
126.644;89.6;0.352;133.929;57.6
126.996;79.1;0.5;170.455;59.8
127.496;79.2;0.322292;120;62.8
127.8182917;79.3;0.261708;186.167;60.4
128.08;79.4;0.236;229.263;64.7
128.316;79.5;0.26;254.237;67.1
128.576;79.6;0.264448;230.769;68
128.8404479;80.1;0.279552;226.888;66.8
129.12;80.2;0.248;214.629;71.1
129.368;80.3;0.256;241.935;71.8
129.624;80.4;0.288;234.375;70.6
129.912;80.5;0.372;208.333;68.1
130.284;80.6;0.312;161.29;68.9
130.596;81.1;0.292;192.308;69.2
130.888;81.2;0.264;205.479;69.4
131.152;81.3;0.26;227.273;70.2
131.412;81.4;0.232;230.769;70
131.644;81.5;0.24;258.621;70.1
131.884;81.6;0.26;250;72.9
132.144;82.1;0.276;230.769;72.8
132.42;82.2;0.224;217.391;76.1
132.644;82.3;0.26;267.857;72.9
132.904;82.4;0.344;230.769;73.1
133.248;82.5;0.372;174.419;68.5
133.62;82.6;0.324;161.29;71.1
133.944;83.1;0.304;185.185;67.4
134.248;83.2;0.292;197.368;72.8
134.54;83.3;0.236;205.479;66.7
134.776;83.4;0.268;254.237;72.7
135.044;83.5;0.24;223.881;73.1
135.284;83.6;0.258271;250;75.9
135.5422708;84.1;0.221729;232.314;71.5
135.764;84.2;0.224;270.6;77.2
135.988;84.3;0.27751;267.857;74
136.2655104;84.4;0.25049;216.208;74.4
136.516;84.5;0.24;239.531;72.6
136.756;84.6;0.3;250;77.2
137.056;85.1;0.364;200;73.2
137.42;85.2;0.28;164.835;76.9
137.7;85.3;0.26;214.286;70.6
137.96;85.4;0.236;230.769;69.9
138.196;85.5;0.256;254.237;69.6
138.452;85.6;0.268;234.375;68.9
138.72;86.1;0.26;223.881;68.6
138.98;86.2;0.232;230.769;68.1
139.212;86.3;0.256;258.621;66.8
139.468;86.4;0.236;234.375;67.5
139.704;86.5;0.268;254.237;63.7
139.972;86.6;0.284;223.881;67
140.256;87.1;0.308;211.268;66.7
140.564;87.2;0.236;194.805;70.3
140.8;87.3;0.256;254.237;71.7
141.056;87.4;0.3;234.375;69.7
141.356;87.5;0.28;200;67.8
141.636;87.6;0.3;214.286;69.7
141.936;88.1;0.321333;200;66.2
142.2573333;88.2;0.313812;186.722;61
142.5711458;88.3;0.296219;191.197;51.6
142.8673646;88.4;0.292635;202.553;47.3
143.16;88.5;0.308;205.033;57
143.468;88.6;0.34;194.805;65.2
143.808;89.1;0.4;176.471;63.2
144.208;89.2;0.319948;150;60.4
144.5279479;89.3;0.368052;187.531;49.5
144.896;89.4;0.524;163.02;38.1
145.42;89.5;0.416;114.504;48.9
145.836;89.6;0.364;144.231;55
146.2;90.1;0.472;164.835;58.3
146.672;90.2;0.32;127.119;65
146.992;90.3;0.272;187.5;64.1
147.264;90.4;0.252;220.588;66.7
147.516;90.5;0.232;238.095;70.8
147.748;90.6;0.272;258.621;71.8
148.02;91.1;0.234;220.588;70.9
148.254;91.2;0.242;256.41;73
148.496;91.3;0.26;247.934;73
148.756;91.4;0.228;230.769;67.6
148.984;91.5;0.232;263.158;67
149.216;91.6;0.324;258.621;67.7
149.54;92.1;0.264;185.185;69
149.804;92.2;0.288;227.273;69.7
150.092;92.3;0.256563;208.333;68.3
150.3485625;92.4;0.243437;233.861;69.4
150.592;92.5;0.212;246.47;68.6
150.804;92.6;0.249615;283.019;74.5
151.0536146;93.1;0.240646;240.371;71.8
151.2942604;93.2;0.24974;249.329;70.6
151.544;93.3;0.248;240.25;72.4
151.792;93.4;0.312;241.935;74
152.104;93.5;0.372;192.308;70.1
152.476;93.6;0.244;161.29;68.8
152.72;94.1;0.368;245.902;69.8
153.088;94.2;0.24675;163.043;67.7
153.33475;94.3;0.21325;243.161;70.7
153.548;94.4;0.244;281.36;68.8
153.792;94.5;0.268;245.902;69.8
154.06;94.6;0.28;223.881;70.4
154.34;95.1;0.224;214.286;71.4
154.564;95.2;0.208;267.857;71.3
154.772;95.3;0.272;288.462;71.5
155.044;95.4;0.256;220.588;70.5
155.3;95.5;0.24;234.375;72
155.54;95.6;0.24;250;69.6
155.78;96.1;0.348;250;71.5
156.128;96.2;0.304;172.414;69.5
156.432;96.3;0.24;197.368;70.1
156.672;96.4;0.24;250;74.2
156.912;96.5;0.232;250;70.7
157.144;96.6;0.26;258.621;70
157.404;97.1;0.236;230.769;66.4
157.64;97.2;0.24;254.237;68.6
157.88;97.3;0.228;250;68.4
158.108;97.4;0.278635;263.158;68.7
158.3866354;97.5;0.277365;215.335;69.1
158.664;97.6;0.22;216.322;67.8
158.884;98.1;0.264;272.727;66.6
159.148;98.2;0.224;227.273;72.6
159.372;98.3;0.244;267.857;70.7
159.616;98.4;0.272;245.902;71.5
159.888;98.5;0.252;220.588;70.5
160.14;98.6;0.272;238.095;74.7
160.412;99.1;0.330042;220.588;69.4
160.7420417;99.2;0.289958;181.795;67.4
161.032;99.3;0.288312;206.926;57
161.3203125;99.4;0.183687;208.108;51.7
161.504;99.5;0.308;326.642;62.1
161.812;99.6;0.35149;194.805;69.2
162.1634896;100.1;0.323438;170.702;69.3
162.4869271;100.2;0.289073;185.507;70
162.776;100.3;0.259198;207.56;71.7
163.0351979;100.4;0.276802;231.483;69.3
163.312;100.5;0.28;216.761;68.5
163.592;100.6;0.344;214.286;68.6
163.936;101.1;0.376;174.419;66.8
164.312;101.2;0.284;159.574;66.7
164.596;101.3;0.196;211.268;67.8
164.792;101.4;0.264;306.122;69
165.056;101.5;0.284;227.273;75
165.34;101.6;0.277458;211.268;73.9
165.6174583;102.1;0.244823;216.249;73.3
165.8622813;102.2;0.189719;245.075;74.1
166.052;102.3;0.301615;316.258;75.5
166.3536146;102.4;0.255719;198.929;76.6
166.6093333;102.5;0.25051;234.633;77.1
166.8598438;102.6;0.240156;239.511;76.2
167.1;103.1;0.416;249.837;73.3
167.516;103.2;0.232;144.231;74.7
167.748;103.3;0.24;258.621;73.3
167.988;103.4;0.26;250;73.8
168.248;103.5;0.28;230.769;74
168.528;103.6;0.28;214.286;73.5
