Onset;Bar.Minim;Duration (s);Tempo (bpm);Intesity (dB)
416.5775964;202.2;1.0449;57.7427;65.5
417.6224943;203.1;1.02748;57.4219;67.5
418.6499773;203.2;0.934603;58.3951;71.4
419.5845805;204.1;0.893968;64.1984;70
420.4785488;204.2;0.859138;67.1165;69.8
421.3376871;205.1;0.928798;69.8374;74.1
422.2664853;205.2;0.917188;64.5996;78.2
423.1836735;206.1;0.888163;65.4173;69.9
424.0718367;206.2;0.882358;67.5551;68.5
424.954195;207.1;0.946213;67.9996;72.4
425.9004082;207.2;0.899773;63.4107;77.6
426.8001814;208.1;0.870748;66.6835;71.9
427.6709297;208.2;0.853333;68.9062;78.4
428.524263;209.1;0.893968;70.3125;72.1
429.4182313;209.2;0.853333;67.1165;78.8
430.2715646;210.1;0.841723;70.3125;72.3
431.113288;210.2;0.859138;71.2823;77.3
431.9724263;211.1;0.922993;69.8374;74.3
432.8954195;211.2;0.824308;65.0059;72.3
433.7197279;212.1;0.86771;72.7883;73.6
434.5874376;212.2;0.811224;69.1475;72.6
435.3986621;213.1;0.904286;73.9623;70.5
436.3029478;213.2;0.835918;66.3507;72.7
437.1388662;214.1;0.882358;71.7773;71.6
438.0212245;214.2;0.888163;67.9996;78.4
438.9093878;215.1;0.905578;67.5551;77.4
439.814966;215.2;0.940408;66.256;74.2
440.7553741;216.1;0.882358;63.8021;71.1
441.6377324;216.2;0.876553;67.9996;73.9
442.5142857;217.1;0.859138;68.4499;68.3
443.373424;217.2;0.911383;69.8374;74.2
444.2848073;218.1;1.03909;65.834;80.9
445.3239002;218.2;1.15519;57.7427;79.5
446.479093;219.1;1.08553;51.9394;69.3
447.5646259;219.2;1.02748;55.2724;70.4
448.5921088;220.1;0.952018;58.3951;76.1
449.544127;220.2;0.981043;63.024;76
450.5251701;221.1;0.922993;61.1594;72.6
451.4481633;221.2;1.0507;65.0059;66.9
452.4988662;222.1;1.07392;57.1046;69.8
453.5727891;222.2;1.14939;55.8699;69.7
454.7221769;223.1;1.0449;52.2017;78
455.7670748;223.2;1.03329;57.4219;77
456.8003628;224.1;1.03329;58.0671;77.7
457.8336508;224.2;1.05651;58.0671;74
458.8901587;225.1;0.930385;56.7909;73.7
459.8205442;225.2;0.962041;64.4894;77.3
460.782585;226.1;1.01587;62.3674;71
461.798458;226.2;1.3363;59.0625;73.6
463.1347619;227.1;1.1459;44.9;68.2
464.2806576;227.2;1.03778;52.3608;67.4
465.3184354;228.1;1.24592;57.8158;66
466.5643537;228.2;0.986236;48.1572;69.5
467.5505896;229.1;1.08893;60.8374;64.9
468.6395238;229.2;1.05311;55.0997;69.8
469.6926304;230.1;0.98746;56.9743;73.7
470.6800907;230.2;1.12036;60.7619;70.4
471.8004535;231.1;1.08553;53.5541;71.5
472.8859864;231.2;1.01587;55.2724;67.4
473.9018594;232.1;1.08762;59.0625;67.4
474.9894785;232.2;1.2576;55.1664;65.6
476.2470748;233.1;1.10875;47.7101;67.3
477.3558277;233.2;1.19719;54.1149;71.2
478.5530159;234.1;1.15964;50.1174;69.1
479.7126531;234.2;1.17841;51.7403;69.4
480.8910658;235.1;1.12036;50.9159;66.2
482.0114286;235.2;1.04757;53.5541;71.2
483.0590023;236.1;1.13685;57.2752;67.1
484.1958503;236.2;1.17667;52.7775;62.6
485.372517;237.1;1.28864;50.9915;63.7
486.6611565;237.2;1.52098;46.5607;62.3
488.1821315;238.1;1.52091;39.4484;68.1
489.7030385;238.2;1.42222;39.4501;53
491.1252608;239.1;1.29451;42.1875;63.1
492.4197732;239.2;1.27129;46.3495;63.5
493.6910658;240.1;1.22485;47.1961;62.5
494.9159184;240.2;1.13197;48.9855;64.4
496.0478912;241.1;1.1212;53.0048;69.7
497.169093;241.2;1.13113;53.514;67.3
498.3002268;242.1;1.07973;53.0441;67.4
499.3799546;242.2;1.21324;55.5696;66
500.5931973;243.1;1.24807;49.4542;70.6
501.8412698;243.2;1.19583;48.0741;62.1
503.0370975;244.1;1.19583;50.1745;70.1
504.2329252;244.2;1.10875;50.1745;72.3
505.341678;245.1;1.24227;54.1149;67.5
506.5839456;245.2;1.36998;48.2988;73.1
507.9539229;246.1;1.2829;43.7963;67.9
509.2368254;246.2;1.18812;46.7689;65.4
510.4249433;247.1;1.12807;50.5;70.1
511.5530159;247.2;1.08553;53.1881;66
512.6385488;248.1;1.12036;55.2724;69.2
513.7589116;248.2;1.03909;53.5541;67.3
514.7980045;249.1;1.18422;57.7427;68
515.9822222;249.2;1.10295;50.6664;68.7
517.0851701;250.1;1.12036;54.3997;67.6
518.2055329;250.2;1.17261;53.5541;65.1
519.3781406;251.1;1.34095;51.168;69.2
520.719093;251.2;1.07417;44.7443;68.1
521.7932653;252.1;1.39875;55.857;64.2
523.1920181;252.2;1.32934;42.8954;67.1
524.5213605;253.1;1.1668;45.1351;75.9
525.6881633;253.2;1.08553;51.4226;75.2
526.7736961;254.1;1.13778;55.2724;78.8
527.9114739;254.2;1.06812;52.7344;73.5
528.9795918;255.1;1.19583;56.1736;75
530.1754195;255.2;1.13197;50.1745;66.8
531.3073923;256.1;1.06755;53.0048;67.4
532.3749433;256.2;1.14415;56.2034;68.8
533.519093;257.1;0.955896;52.4407;66.7
534.4749887;257.2;1.05109;62.7684;66.3
535.5260771;258.1;0.97678;57.0837;70.7
536.5028571;258.2;0.959592;61.4263;71.2
537.462449;259.1;1.0083;62.5266;66.6
538.4707483;259.2;1.08553;59.5061;70.3
539.5562812;260.1;1.09714;55.2724;68.1
540.653424;260.2;1.21324;54.6875;62.2
541.8666667;261.1;1.09714;49.4542;64.7
542.9638095;261.2;1.19002;54.6875;62.2
544.1538322;262.1;0.96458;50.4192;63
545.1184127;262.2;0.956871;62.2032;71.5
546.0752834;263.1;1.00426;62.7044;72.9
547.0795465;263.2;0.992653;59.7453;70.7
548.0721995;264.1;1.08553;60.4441;73.9
549.1577324;264.2;1.02748;55.2724;68.6
550.1852154;265.1;1.06231;58.3951;71
551.2475283;265.2;1.01007;56.4805;69.9
552.2575964;266.1;0.981043;59.4019;66
553.2386395;266.2;1.0507;61.1594;67.4
554.2893424;267.1;1.09714;57.1046;68.2
555.3864853;267.2;1.09134;54.6875;68
556.4778231;268.1;1.03909;54.9784;68.2
557.5169161;268.2;1.14358;57.7427;67.3
558.6604989;269.1;1.0449;52.4667;71.7
559.7053968;269.2;0.952018;57.4219;61.2
560.657415;270.1;1.00011;63.024;69.8
561.6575283;270.2;0.996803;59.9932;71.3
562.6543311;271.1;0.971769;60.1925;75.9
563.6260998;271.2;1.09481;61.7431;72.7
564.720907;272.1;0.969433;54.8042;73.6
565.6903401;272.2;1.00426;61.8918;78
566.6946032;273.1;1.01587;59.7453;71.3
567.7104762;273.2;1.01587;59.0625;71.8
568.7263492;274.1;0.998844;59.0625;74.1
569.7251927;274.2;1.04451;60.0695;71.8
570.7697052;275.1;1.06231;57.4431;73.5
571.8320181;275.2;1.11456;56.4805;71.1
572.946576;276.1;1.21324;53.833;70.4
574.1598186;276.2;1.31773;49.4542;69.8
575.477551;277.1;1.21324;45.5328;67.8
576.6907937;277.2;1.1668;49.4542;66.2
577.8575964;278.1;1.20744;51.4226;60.9
579.065034;278.2;1.53832;49.692;68.1
580.603356;279.1;1.1844;39.0035;63.4
581.7877551;279.2;1.30594;50.6586;65.4
583.0936961;280.1;1.21905;45.9439;65.2
584.3127438;280.2;1.77633;49.2188;61.3
586.0890703;281.1;0;33.7776;61.8
